PATENT_NO		TIME TO WRITE		WORDS ADDED BY FILE
Pat/2015/08926920 --- 43.353717116514844 minutes --- 597 new words added
Pat/2015/08926921 --- 86.72755734125774 minutes --- 339 new words added
Pat/2015/08926922 --- 130.11221448977787 minutes --- 817 new words added
Pat/2015/08926923 --- 173.50582973957063 minutes --- 372 new words added
Pat/2015/08926924 --- 216.90891948541005 minutes --- 335 new words added
Pat/2015/08926925 --- 260.3270772775014 minutes --- 427 new words added
Pat/2015/08926926 --- 303.7568148970604 minutes --- 263 new words added
Pat/2015/08926927 --- 347.19417207638423 minutes --- 136 new words added
Pat/2015/08926928 --- 390.64333071311313 minutes --- 196 new words added
Pat/2015/08926929 --- 434.10409108002983 minutes --- 181 new words added
Pat/2015/08926930 --- 477.60943611860273 minutes --- 551 new words added
Pat/2015/08926931 --- 521.1655093352 minutes --- 352 new words added
Pat/2015/08926932 --- 564.7504135052363 minutes --- 263 new words added
Pat/2015/08926933 --- 608.7506632208824 minutes --- 2843 new words added
Pat/2015/08926934 --- 652.767435379823 minutes --- 85 new words added
Pat/2015/08926935 --- 696.8010280807813 minutes --- 81 new words added
Pat/2015/08926936 --- 740.8538472016652 minutes --- 87 new words added
Pat/2015/08926937 --- 784.9769390543302 minutes --- 285 new words added
Pat/2015/08926938 --- 829.1298824151357 minutes --- 115 new words added
Pat/2015/08926939 --- 873.3246031204859 minutes --- 154 new words added
Pat/2015/08926940 --- 917.556891254584 minutes --- 129 new words added
Pat/2015/08926941 --- 961.833779156208 minutes --- 87 new words added
Pat/2015/08926942 --- 1006.1343857804934 minutes --- 74 new words added
Pat/2015/08926943 --- 1050.5121475577355 minutes --- 232 new words added
Pat/2015/08926944 --- 1095.23456975619 minutes --- 901 new words added
Pat/2015/08926945 --- 1140.247089223067 minutes --- 642 new words added
Pat/2015/08926946 --- 1185.5449829101562 minutes --- 650 new words added
Pat/2015/08926947 --- 1231.0869596719742 minutes --- 507 new words added
Pat/2015/08926948 --- 1276.6734965284666 minutes --- 86 new words added
Pat/2015/08926949 --- 1322.335824962457 minutes --- 141 new words added
Pat/2015/08926950 --- 1368.1410256067911 minutes --- 257 new words added
Pat/2015/08926951 --- 1414.1400959014893 minutes --- 293 new words added
Pat/2015/08926952 --- 1460.3025635083516 minutes --- 265 new words added
Pat/2015/08926953 --- 1506.6496283054353 minutes --- 286 new words added
Pat/2015/08926954 --- 1553.123797261715 minutes --- 188 new words added
Pat/2015/08926955 --- 1599.9459869146347 minutes --- 494 new words added
Pat/2015/08926956 --- 1647.1780039270718 minutes --- 545 new words added
Pat/2015/08926957 --- 1694.9778867165248 minutes --- 692 new words added
Pat/2015/08926958 --- 1743.1400758783022 minutes --- 412 new words added
Pat/2015/08926959 --- 1791.5153922796248 minutes --- 235 new words added
Pat/2015/08926960 --- 1840.020596977075 minutes --- 136 new words added
Pat/2015/08926961 --- 1888.8922606269518 minutes --- 361 new words added
Pat/2015/08926962 --- 1937.9455445488295 minutes --- 181 new words added
Pat/2015/08926963 --- 1987.7236936251322 minutes --- 696 new words added
Pat/2015/08926964 --- 2038.821569275856 minutes --- 1173 new words added
Pat/2015/08926965 --- 2090.821337425709 minutes --- 748 new words added
Pat/2015/08926966 --- 2143.539479025205 minutes --- 569 new words added
Pat/2015/08926967 --- 2196.6311998407045 minutes --- 283 new words added
Pat/2015/08926969 --- 2250.703758676847 minutes --- 705 new words added
Pat/2015/08926970 --- 2305.121119983991 minutes --- 240 new words added
Pat/2015/08926971 --- 2360.091332491239 minutes --- 374 new words added
Pat/2015/08926972 --- 2415.3926245331763 minutes --- 202 new words added
Pat/2015/08926973 --- 2471.1099966645243 minutes --- 261 new words added
Pat/2015/08926974 --- 2528.017605475585 minutes --- 723 new words added
Pat/2015/08926975 --- 2585.571332124869 minutes --- 378 new words added
Pat/2015/08926976 --- 2645.1981444795924 minutes --- 1135 new words added
Pat/2015/08926977 --- 2705.805883924166 minutes --- 517 new words added
Pat/2015/08926978 --- 2766.874207003911 minutes --- 235 new words added
Pat/2015/08926979 --- 2828.755602681637 minutes --- 402 new words added
Pat/2015/08926980 --- 2891.0492767413457 minutes --- 198 new words added
Pat/2015/08926981 --- 2954.1136455496153 minutes --- 362 new words added
Pat/2015/08926982 --- 3017.564082972209 minutes --- 167 new words added
Pat/2015/08926983 --- 3081.6662510315577 minutes --- 289 new words added
Pat/2015/08926984 --- 3146.177898792426 minutes --- 177 new words added
Pat/2015/08926985 --- 3211.5984994769096 minutes --- 388 new words added
Pat/2015/08926986 --- 3277.5497438311577 minutes --- 220 new words added
Pat/2015/08926987 --- 3344.276786975066 minutes --- 313 new words added
Pat/2015/08926988 --- 3411.347889538606 minutes --- 136 new words added
Pat/2015/08926989 --- 3478.7261085152627 minutes --- 119 new words added
Pat/2015/08926990 --- 3546.7622800151507 minutes --- 250 new words added
Pat/2015/08926991 --- 3615.512960207462 minutes --- 266 new words added
Pat/2015/08926992 --- 3684.952157286803 minutes --- 244 new words added
Pat/2015/08926993 --- 3755.4354530056316 minutes --- 363 new words added
